county,link,name,state,lat,long,geocoded-address,found
Kailua Kona,http://westhawaiitoday.com/,West Hawaii Today,Hawaii,19.64128,-156.000055,"75-5580 Kuakini Hwy, Kailua-Kona, HI 96740, USA",Match
Roseville,http://www.eaglepublications.com/avon.html,Avon Sentinel,Illinois,39.8072903,-82.0712522,"Roseville, OH 43777, USA",Partial Match
Aurora,http://www.suburbanchicagonews.com/beaconnews/,The Beacon-News,Illinois,41.7605849,-88.3200715,"Aurora, IL, USA",Partial Match
Belleville,http://www.bnd.com/,Belleville News-Democrat,Illinois,38.5120135,-89.98383,"120 S Illinois St, Belleville, IL 62220, USA",Match
Belvidere,http://www.bdrnews.com/,Belvidere Daily Republican,Illinois,42.258325,-88.8416365,"130 S State St, Belvidere, IL 61008, USA",Match
Benton,http://www.bentoneveningnews.com/,Benton Evening News,Illinois,37.9959461,-88.919781,"111 E Church St, Benton, IL 62812, USA",Match
Naperville,http://www.suburbanchicagonews.com/SunPub/bbrook/,Bolingbrook Sun,Illinois,41.6986416,-88.0683955,"Bolingbrook, IL, USA",Partial Match
Princeton,http://www.bcrnews.com/,Bureau County Republican,Illinois,41.3946886,-89.4494618,"800 Ace Rd, Princeton, IL 61356, USA",Match
Carmi,http://www.carmitimes.com/,Carmi Times,Illinois,38.0915348,-88.1580328,"323 E Main St, Carmi, IL 62821, USA",Match
Charleston,http://www.jg-tc.com/,Charleston County Daily Times-Courier,Illinois,32.794698,-79.94181,"134 Columbus St, Charleston, SC 29403, USA",Match
Chester,http://www.suntimesnews.com/2/,Chester Sun Times,Illinois,37.9140267,-89.8222231,"2204 State St, Chester, IL 62233, USA",Match
Fairplay,http://www.theflume.com/,Fairplay Flume,Colorado,39.2220538,-105.9927041,"379 US Hwy 285, Fairplay, CO 80440, USA",Match
Fort Morgan,http://www.fortmorgantimes.com/,Fort Morgan Times,Colorado,40.2502582,-103.7999509,"Fort Morgan, CO 80701, USA",Match
Durango,http://www.businessjournals.com/,Four Corners Business Journal,Colorado,36.7322019,-108.2073448,"201 N Allen Ave, Farmington, NM 87401, USA",Match
Colorado Springs,http://www.gazette.com/,The Gazette,Colorado,38.8341253,-104.8242921,"30 E Pikes Peak Ave #100, Colorado Springs, CO 80903, USA",Match
Greeley,http://www.greeleytrib.com/,Greeley Tribune,Colorado,40.428027,-104.691605,"501 8th Ave, Greeley, CO 80631, USA",Match
Haxtun,http://www.hfherald.com/,Haxtun-Fleming Herald,Colorado,40.6412166,-102.6285782,"217 S Colorado Ave, Haxtun, CO 80731, USA",Match
Paonia,http://www.hcn.org/,High Country News,Colorado,38.8661434,-107.5977159,"119 Grand Ave, Paonia, CO 81428, USA",Match
Colorado Springs,http://www.csindy.com/,Independent,Colorado,38.8299649,-104.8214888,"235 S Nevada Ave, Colorado Springs, CO 80903, USA",Match
